,abundance
ENSMUSG00000001785,3.7759983561284164e-05
ENSMUSG00000001786,1.0875773508940327e-05
ENSMUSG00000001794,0.00025215120986607877
ENSMUSG00000001802,3.9009153186826925e-06
ENSMUSG00000001819,2.2453918973435022e-07
ENSMUSG00000001827,2.564010398361435e-07
ENSMUSG00000001829,3.6496355602514067e-05
ENSMUSG00000001833,0.0002447647934023551
ENSMUSG00000001844,3.68037581205956e-05
ENSMUSG00000001847,0.00029049690802933
ENSMUSG00000001855,2.231678557614947e-05
ENSMUSG00000001864,1.2864701657099922e-05
ENSMUSG00000001870,0.0003772470878857328
ENSMUSG00000001891,0.0001161807703116928
ENSMUSG00000001901,8.28883740360424e-09
ENSMUSG00000001909,3.289331164294228e-05
ENSMUSG00000001910,1.2121413465281105e-05
ENSMUSG00000001911,0.0002173420841200729
ENSMUSG00000001918,2.881042602737361e-05
ENSMUSG00000001924,0.0003340861492981766
ENSMUSG00000001930,1.3014491564777675e-08
ENSMUSG00000001942,9.125358039592828e-06
ENSMUSG00000001943,9.482351359730192e-07
ENSMUSG00000001946,1.8918357601085852e-07
ENSMUSG00000001948,2.4637010771450483e-06
ENSMUSG00000001962,6.15633272658125e-05
ENSMUSG00000001964,0.00010314126207040766
ENSMUSG00000001983,6.345465116378331e-06
ENSMUSG00000001985,0.0012738953908656362
ENSMUSG00000001986,5.4906851160005344e-05
ENSMUSG00000001988,4.9056373197898014e-08
ENSMUSG00000001995,1.2411089707378321e-05
ENSMUSG00000001998,6.533135478622366e-06
ENSMUSG00000001999,4.529020032231721e-05
ENSMUSG00000002006,3.313285828191865e-06
ENSMUSG00000002007,3.2628257414784774e-08
ENSMUSG00000002010,8.67546221197709e-05
ENSMUSG00000002012,4.302124485845705e-07
ENSMUSG00000002014,0.0004836747583038414
ENSMUSG00000002015,0.0003282254004152908
ENSMUSG00000002017,5.3872929665734784e-05
ENSMUSG00000002020,0.00038305919039412326
ENSMUSG00000002028,3.942025600610438e-05
ENSMUSG00000002031,2.2794897225314626e-05
ENSMUSG00000002032,2.101193578785305e-07
ENSMUSG00000002043,2.9121867204215703e-05
ENSMUSG00000002052,4.998189829755443e-05
ENSMUSG00000002055,1.2647498343088976e-05
ENSMUSG00000002057,1.8467724636661931e-06
ENSMUSG00000002058,1.1241029166927179e-05
